,Open,High,Low,Close,Volume,Date
1509937200,1.5,1.799,0.5,1.7,649.12,2017-11-06 03:00:00
1509940800,1.3,1.65,1.3,1.6479,8147.72,2017-11-06 04:00:00
1509944400,1.5457,1.5525,1.5455,1.5458,6628.2,2017-11-06 05:00:00
1509948000,1.5458,1.681,1.5387,1.681,22767.9,2017-11-06 06:00:00
1509951600,1.6809,1.6809,1.6,1.625,14938.73,2017-11-06 07:00:00
1509955200,1.6011,1.6379,1.601,1.6378,5888.89,2017-11-06 08:00:00
1509958800,1.602,1.6366,1.58,1.6366,6643.14,2017-11-06 09:00:00
1509962400,1.601,1.6479,1.6,1.6479,4885.62,2017-11-06 10:00:00
1509966000,1.6479,1.676,1.6288,1.6288,4324.77,2017-11-06 11:00:00
1509969600,1.6288,1.6288,1.5803,1.5804,5834.38,2017-11-06 12:00:00
1509973200,1.6,1.6,1.5804,1.6,489.15,2017-11-06 13:00:00
1509976800,1.5805,1.61,1.5645,1.61,9040.61,2017-11-06 14:00:00
1509980400,1.6098,1.6148,1.5908,1.6148,6822.39,2017-11-06 15:00:00
1509984000,1.6148,1.631,1.6148,1.6148,1957.74,2017-11-06 16:00:00
1509987600,1.6108,1.627,1.57,1.5829,5646.76,2017-11-06 17:00:00
1509991200,1.5868,1.6028,1.5645,1.5908,909.99,2017-11-06 18:00:00
1509994800,1.6028,1.6028,1.571,1.5868,3255.32,2017-11-06 19:00:00
1509998400,1.5948,1.598,1.5763,1.5789,2629.14,2017-11-06 20:00:00
1510002000,1.5711,1.5868,1.556,1.571,1707.62,2017-11-06 21:00:00
1510005600,1.5789,1.5868,1.55,1.5631,4534.05,2017-11-06 22:00:00
1510009200,1.5553,1.577,1.5553,1.571,2914.1,2017-11-06 23:00:00
1510012800,1.571,1.5948,1.545,1.571,3617.43,2017-11-07 00:00:00
1510016400,1.5789,1.5789,1.5389,1.5389,3781.84,2017-11-07 01:00:00
1510020000,1.5389,1.5389,1.5389,1.5389,0.72,2017-11-07 02:00:00
1510023600,1.58,1.6188,1.55,1.6188,957.27,2017-11-07 03:00:00
1510027200,1.6184,1.6188,1.5548,1.5705,7268.47,2017-11-07 04:00:00
1510030800,1.5705,1.602,1.5705,1.602,3914.23,2017-11-07 05:00:00
1510034400,1.59,1.59,1.5705,1.5705,3046.71,2017-11-07 06:00:00
1510038000,1.5705,1.5705,1.5705,1.5705,13.76,2017-11-07 07:00:00
1510041600,1.59,1.595,1.58,1.5949,371.0,2017-11-07 08:00:00
1510045200,1.588,1.588,1.5548,1.5864,865.9,2017-11-07 09:00:00
1510048800,1.5864,1.5864,1.565,1.5864,117.38,2017-11-07 10:00:00
1510052400,1.5864,1.6184,1.5705,1.5864,3226.54,2017-11-07 11:00:00
