2024-03-24 17:37:16,417 - FeaturesModeller - test - DEBUG - Using configs {'General': {'run_name': 'test', 'PREFIX_DB': 'E:/test_data/test_run'}, 'Plotting': {'tick_size': 15, 'label_size': 20, 'title_size': 30, 'fig_width': 20, 'font_size': 16}, 'Metadata': {'n_blocks': 2000}, 'Aggregate': {'tx_generic_cols': {'dist': ['transaction_type', 'receipt_status'], 'stats': ['transaction_index_relative', 'value', 'gas', 'gas_price']}}, 'Heuristics': {'nafill': 'mean', 'Deposit': {'receiver_average_blocks_per_tx_threshold': 20, 'top_percentage_receiver': 0.01, 'max_transfers_deposit': 5}}, 'Clustering': {'algorithms': ['gmm', 'xmeans'], 'nafills': ['mean', '-1'], 'preprocessings': ['non-UMAP', 'UMAP']}}
2024-03-24 18:26:57,555 - FeaturesModeller - test - DEBUG - Using configs {'General': {'run_name': 'test', 'PREFIX_DB': 'E:/test_data/test_run'}, 'Plotting': {'tick_size': 15, 'label_size': 20, 'title_size': 30, 'fig_width': 20, 'font_size': 16}, 'Metadata': {'n_blocks': 2000}, 'Aggregate': {'tx_generic_cols': {'dist': ['transaction_type', 'receipt_status'], 'stats': ['transaction_index_relative', 'value', 'gas', 'gas_price']}}, 'Heuristics': {'nafill': 'mean', 'Deposit': {'receiver_average_blocks_per_tx_threshold': 20, 'top_percentage_receiver': 0.01, 'max_transfers_deposit': 5}}, 'Clustering': {'algorithms': ['gmm', 'xmeans'], 'nafills': ['mean', '-1'], 'preprocessings': ['non-UMAP', 'UMAP']}}
2024-03-24 18:37:48,361 - FeaturesModeller - test - DEBUG - Using configs {'General': {'run_name': 'test', 'PREFIX_DB': 'E:/test_data/test_run'}, 'Plotting': {'tick_size': 15, 'label_size': 20, 'title_size': 30, 'fig_width': 20, 'font_size': 16}, 'Metadata': {'n_blocks': 2000}, 'Aggregate': {'tx_generic_cols': {'dist': ['transaction_type', 'receipt_status'], 'stats': ['transaction_index_relative', 'value', 'gas', 'gas_price']}}, 'Heuristics': {'nafill': 'mean', 'Deposit': {'receiver_average_blocks_per_tx_threshold': 20, 'top_percentage_receiver': 0.01, 'max_transfers_deposit': 5}}, 'Clustering': {'algorithms': ['gmm', 'xmeans'], 'nafills': ['mean', '-1'], 'preprocessings': ['non-UMAP', 'UMAP']}}
2024-03-24 18:39:26,792 - FeaturesModeller - test - DEBUG - Using configs {'General': {'run_name': 'test', 'PREFIX_DB': 'E:/test_data/test_run'}, 'Plotting': {'tick_size': 15, 'label_size': 20, 'title_size': 30, 'fig_width': 20, 'font_size': 16}, 'Metadata': {'n_blocks': 2000}, 'Aggregate': {'tx_generic_cols': {'dist': ['transaction_type', 'receipt_status'], 'stats': ['transaction_index_relative', 'value', 'gas', 'gas_price']}}, 'Heuristics': {'nafill': 'mean', 'Deposit': {'receiver_average_blocks_per_tx_threshold': 20, 'top_percentage_receiver': 0.01, 'max_transfers_deposit': 5}}, 'Clustering': {'algorithms': ['gmm', 'xmeans'], 'nafills': ['mean', '-1'], 'preprocessings': ['non-UMAP', 'UMAP']}}
2024-03-24 18:49:00,218 - FeaturesModeller - test - DEBUG - Using configs {'General': {'run_name': 'test', 'PREFIX_DB': 'E:/test_data/test_run'}, 'Plotting': {'tick_size': 15, 'label_size': 20, 'title_size': 30, 'fig_width': 20, 'font_size': 16}, 'Metadata': {'n_blocks': 2000}, 'Aggregate': {'tx_generic_cols': {'dist': ['transaction_type', 'receipt_status'], 'stats': ['transaction_index_relative', 'value', 'gas', 'gas_price']}}, 'Heuristics': {'nafill': 'mean', 'Deposit': {'receiver_average_blocks_per_tx_threshold': 20, 'top_percentage_receiver': 0.01, 'max_transfers_deposit': 5}}, 'Clustering': {'algorithms': ['gmm', 'xmeans'], 'nafills': ['mean', '-1'], 'preprocessings': ['non-UMAP', 'UMAP']}}
2024-03-24 18:49:41,540 - FeaturesModeller - test - DEBUG - Using configs {'General': {'run_name': 'test', 'PREFIX_DB': 'E:/test_data/test_run'}, 'Plotting': {'tick_size': 15, 'label_size': 20, 'title_size': 30, 'fig_width': 20, 'font_size': 16}, 'Metadata': {'n_blocks': 2000}, 'Aggregate': {'tx_generic_cols': {'dist': ['transaction_type', 'receipt_status'], 'stats': ['transaction_index_relative', 'value', 'gas', 'gas_price']}}, 'Heuristics': {'nafill': 'mean', 'Deposit': {'receiver_average_blocks_per_tx_threshold': 20, 'top_percentage_receiver': 0.01, 'max_transfers_deposit': 5}}, 'Clustering': {'algorithms': ['gmm', 'xmeans'], 'nafills': ['mean', '-1'], 'preprocessings': ['non-UMAP', 'UMAP']}}
2024-03-24 18:49:41,935 - FeaturesModeller - test - DEBUG - Using configs {'General': {'run_name': 'test', 'PREFIX_DB': 'E:/test_data/test_run'}, 'Plotting': {'tick_size': 15, 'label_size': 20, 'title_size': 30, 'fig_width': 20, 'font_size': 16}, 'Metadata': {'n_blocks': 2000}, 'Aggregate': {'tx_generic_cols': {'dist': ['transaction_type', 'receipt_status'], 'stats': ['transaction_index_relative', 'value', 'gas', 'gas_price']}}, 'Heuristics': {'nafill': 'mean', 'Deposit': {'receiver_average_blocks_per_tx_threshold': 20, 'top_percentage_receiver': 0.01, 'max_transfers_deposit': 5}}, 'Clustering': {'algorithms': ['gmm', 'xmeans'], 'nafills': ['mean', '-1'], 'preprocessings': ['non-UMAP', 'UMAP']}}
2024-03-24 18:50:11,669 - FeaturesModeller - test - DEBUG - Using configs {'General': {'run_name': 'test', 'PREFIX_DB': 'E:/test_data/test_run'}, 'Plotting': {'tick_size': 15, 'label_size': 20, 'title_size': 30, 'fig_width': 20, 'font_size': 16}, 'Metadata': {'n_blocks': 2000}, 'Aggregate': {'tx_generic_cols': {'dist': ['transaction_type', 'receipt_status'], 'stats': ['transaction_index_relative', 'value', 'gas', 'gas_price']}}, 'Heuristics': {'nafill': 'mean', 'Deposit': {'receiver_average_blocks_per_tx_threshold': 20, 'top_percentage_receiver': 0.01, 'max_transfers_deposit': 5}}, 'Clustering': {'algorithms': ['gmm', 'xmeans'], 'nafills': ['mean', '-1'], 'preprocessings': ['non-UMAP', 'UMAP']}}
2024-03-24 18:51:58,458 - FeaturesModeller - test - DEBUG - Using configs {'General': {'run_name': 'test', 'PREFIX_DB': 'E:/test_data/test_run'}, 'Plotting': {'tick_size': 15, 'label_size': 20, 'title_size': 30, 'fig_width': 20, 'font_size': 16}, 'Metadata': {'n_blocks': 2000}, 'Aggregate': {'tx_generic_cols': {'dist': ['transaction_type', 'receipt_status'], 'stats': ['transaction_index_relative', 'value', 'gas', 'gas_price']}}, 'Heuristics': {'nafill': 'mean', 'Deposit': {'receiver_average_blocks_per_tx_threshold': 20, 'top_percentage_receiver': 0.01, 'max_transfers_deposit': 5}}, 'Clustering': {'algorithms': ['gmm', 'xmeans'], 'nafills': ['mean', '-1'], 'preprocessings': ['non-UMAP', 'UMAP']}}
2024-03-24 18:57:36,045 - FeaturesModeller - test - DEBUG - Using configs {'General': {'run_name': 'test', 'PREFIX_DB': 'E:/test_data/test_run'}, 'Plotting': {'tick_size': 15, 'label_size': 20, 'title_size': 30, 'fig_width': 20, 'font_size': 16}, 'Metadata': {'n_blocks': 2000}, 'Aggregate': {'tx_generic_cols': {'dist': ['transaction_type', 'receipt_status'], 'stats': ['transaction_index_relative', 'value', 'gas', 'gas_price']}}, 'Heuristics': {'nafill': 'mean', 'Deposit': {'receiver_average_blocks_per_tx_threshold': 20, 'top_percentage_receiver': 0.01, 'max_transfers_deposit': 5}}, 'Clustering': {'algorithms': ['gmm', 'xmeans'], 'nafills': ['mean', '-1'], 'preprocessings': ['non-UMAP', 'UMAP']}}
2024-03-24 19:02:00,780 - FeaturesModeller - test - DEBUG - Using configs {'General': {'run_name': 'test', 'PREFIX_DB': 'E:/test_data/test_run'}, 'Plotting': {'tick_size': 15, 'label_size': 20, 'title_size': 30, 'fig_width': 20, 'font_size': 16}, 'Metadata': {'n_blocks': 2000}, 'Aggregate': {'tx_generic_cols': {'dist': ['transaction_type', 'receipt_status'], 'stats': ['transaction_index_relative', 'value', 'gas', 'gas_price']}}, 'Heuristics': {'nafill': 'mean', 'Deposit': {'receiver_average_blocks_per_tx_threshold': 20, 'top_percentage_receiver': 0.01, 'max_transfers_deposit': 5}}, 'Clustering': {'algorithms': ['gmm', 'xmeans'], 'nafills': ['mean', '-1'], 'preprocessings': ['non-UMAP', 'UMAP']}}
