cluster,purity,entropy,size
0,0.6666666666666666,0.9182958340544894,6
1,1.0,-0.0,3
2,0.6666666666666666,0.9182958340544894,18
3,0.6,0.9709505944546687,5
4,1.0,-0.0,1
5,0.9272727272727272,0.3760198509692728,55
6,0.8421052631578947,0.6292492238560347,19
7,1.0,-0.0,1
8,0.6666666666666666,0.9182958340544894,6
9,0.5,1.0,2
10,0.8571428571428571,0.5916727785823274,7
11,0.6666666666666666,0.9182958340544894,6
12,1.0,-0.0,2
13,0.9285714285714286,0.37123232664087563,28
14,0.5789473684210527,0.9819407868640976,19
15,1.0,-0.0,6
16,1.0,-0.0,4
17,0.8571428571428571,0.5916727785823274,7
18,0.6,0.9709505944546687,5
19,0.8717948717948718,0.5524951143251111,39
20,1.0,-0.0,3
21,1.0,-0.0,1
22,1.0,-0.0,4
23,0.75,0.8112781244591327,4
24,0.6666666666666666,0.9182958340544894,3
25,0.6,0.9709505944546687,10
26,1.0,-0.0,2
27,1.0,-0.0,1
28,1.0,-0.0,3
