fine-grained reconciled,T1,T2,T3,T4,T5,T6,T7,Combined,N Samples
Arbitrage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Block Builder,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
CEX,0.48,0.12,0.04,0.12,0.84,0.04,0.52,0.88,25
Copytrader,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.42857142857142855,14
Deposit Wallet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
Faucet-like,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,3
Gamer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
General,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,26
Human,0.0,0.0,0.0,0.0,0.06015037593984962,0.007518796992481203,0.007518796992481203,0.06766917293233082,133
MEV,0.0,0.0,0.5,0.0,0.875,0.0,0.0,1.0,8
NFT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Protocol,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,2
Quant Firm,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
Rollup,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Sandwich,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,2
Trader,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.25,12
