,block_number,tx_hash
0,swaps,"[Swap(abi_name='UniswapV3Pool', transaction_hash='0x641aca76d77b0ce135dc2caeaf6b9745a4fd204ad8d73d611f4455a6a4c3509d', transaction_position=49, block_number=15510001, trace_address=[5], contract_address='0xef3c16317f9907ef9181c99247cd6d9458550a4d', from_address='0xdb7a53e6ae058e1dcf4502341e2adfa522e2b29f', to_address='0xdb7a53e6ae058e1dcf4502341e2adfa522e2b29f', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=202821659992858848, token_out_address='0x4cc19356f2d37338b9802aa8e8fc58b0373296e7', token_out_amount=60603614672544724315949, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None'), Swap(abi_name='BPool', transaction_hash='0x641aca76d77b0ce135dc2caeaf6b9745a4fd204ad8d73d611f4455a6a4c3509d', transaction_position=49, block_number=15510001, trace_address=[5, 2, 1], contract_address='0x7dfe2931d2677a3ae9eb92642ac538dee90146f4', from_address='0xdb7a53e6ae058e1dcf4502341e2adfa522e2b29f', to_address='0xdb7a53e6ae058e1dcf4502341e2adfa522e2b29f', token_in_address='0x4cc19356f2d37338b9802aa8e8fc58b0373296e7', token_in_amount=60603614672544724315949, token_out_address='0x340d2bde5eb28c1eed91b2f790723e3b160613b7', token_out_amount=161250026415497195848425, protocol=<Protocol.balancer_v1: 'balancer_v1'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0x641aca76d77b0ce135dc2caeaf6b9745a4fd204ad8d73d611f4455a6a4c3509d', transaction_position=49, block_number=15510001, trace_address=[5, 2, 3], contract_address='0x0e8cc25eac180d68ff214bb9d4b2a043af764a28', from_address='0xdb7a53e6ae058e1dcf4502341e2adfa522e2b29f', to_address='0xdb7a53e6ae058e1dcf4502341e2adfa522e2b29f', token_in_address='0x340d2bde5eb28c1eed91b2f790723e3b160613b7', token_in_amount=161250026415497195848425, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=205315796707655929, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None')]"
1,block_number,15510001
2,transaction_hash,0x641aca76d77b0ce135dc2caeaf6b9745a4fd204ad8d73d611f4455a6a4c3509d
3,account_address,0xdb7a53e6ae058e1dcf4502341e2adfa522e2b29f
4,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
5,start_amount,202821659992858848
6,end_amount,205315796707655929
7,profit_amount,2494136714797081
8,error,None
9,swaps,"[Swap(abi_name='UniswapV3Pool', transaction_hash='0xc170a1150651358c3cda534f2f1534d90f7643ceb579fd1ce58b781944a79e5a', transaction_position=3, block_number=15510009, trace_address=[0, 2, 0, 2, 0], contract_address='0x9e0905249ceefffb9605e034b534544684a58be6', from_address='0xb21f51dc9f3067574946d1a530447d9037675cbc', to_address='0xff6279ab4d36bc84018fac674a207ad4f90e0fa5', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=1466605525726357513, token_out_address='0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', token_out_amount=6451324497550, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None'), Swap(abi_name='UniswapV3Pool', transaction_hash='0xc170a1150651358c3cda534f2f1534d90f7643ceb579fd1ce58b781944a79e5a', transaction_position=3, block_number=15510009, trace_address=[0, 2, 0], contract_address='0xff6279ab4d36bc84018fac674a207ad4f90e0fa5', from_address='0x9e0905249ceefffb9605e034b534544684a58be6', to_address='0xecaca2963ebcb5c068cacb86277c4b435a2baf3b', token_in_address='0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', token_in_amount=6451324497550, token_out_address='0xfc4913214444af5c715cc9f7b52655e788a569ed', token_out_amount=2154150222445, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None'), Swap(abi_name='UniswapV3Pool', transaction_hash='0xc170a1150651358c3cda534f2f1534d90f7643ceb579fd1ce58b781944a79e5a', transaction_position=3, block_number=15510009, trace_address=[0], contract_address='0xecaca2963ebcb5c068cacb86277c4b435a2baf3b', from_address='0xff6279ab4d36bc84018fac674a207ad4f90e0fa5', to_address='0xb21f51dc9f3067574946d1a530447d9037675cbc', token_in_address='0xfc4913214444af5c715cc9f7b52655e788a569ed', token_in_amount=2154150222445, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=1469658179584000000, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None')]"
